id,hymn_title,hymnal,hymn_number,tune_name,hymn_section,kernlieder_target,insert,is_active
1,This Is the Feast,LSB,155,,Divine Service: Setting One,0,0,1
2,To God on High Be Glory,LSB,204,Es flog ein kleins Waldvögelein,Divine Service: Setting Four,0,0,1
3,"Holy, Holy, Holy Lord",LSB,208,Thine,Divine Service: Setting Four,0,0,1
4,"O Jesus Christ, True Lamb of God",LSB,210,Angelus (Du Meiner Seelen),Divine Service: Setting Four,0,0,1
5,"O Lord, Now Let Your Servant",LSB,211,Kuortane,Divine Service: Setting Four,0,0,1
6,The Advent of Our King,LSB,331,St. Thomas,Advent,0,0,1
7,"Savior of the Nations, Come",LSB,332,"Nun Komm, Der Heiden Heiland",Advent,0,0,1
8,Once He Came in Blessing,LSB,333,Gottes Sohn ist Komm,Advent,0,0,1
9,"O Lord, How Shall I Meet You",LSB,334,Wie Soll Ich Dich Empfangen,Advent,0,0,1
10,"O Bride of Christ, Rejoice",LSB,335,Wo Soll Ich Fliehen Hin,Advent,0,0,1
11,Lo! He Comes with Clouds Descending,LSB,336,Helmsley,Advent,0,0,1
12,The Night Will Soon Be Ending,LSB,337,Llangloffan,Advent,0,0,1
13,"Come, Thou Long-Expected Jesus",LSB,338,Jefferson,Advent,0,0,1
14,"Lift Up Your Heads, You Everlasting Doors",LSB,339,Conrad,Advent,0,0,1
15,"Lift Up Your Heads, Ye Mighty Gates",LSB,340,Macht Hoch Die Tür,Advent,0,0,0
16,"Lift Up Your Heads, Ye Mighty Gates",LSB,341,Milwaukee,Advent,0,0,1
17,What Hope! An Eden Prophesied,LSB,342,Consolation,Advent,0,0,1
18,Prepare the Royal Highway,LSB,343,Bereden Väg För Herran,Advent,0,0,1
19,On Jordan's Bank the Baptist's Cry,LSB,344,Puer Nobis,Advent,0,0,1
20,Hark! A Thrilling Voice Is Sounding,LSB,345,Merton,Advent,0,0,1
21,When All the World Was Cursed,LSB,346,Was Frag Ich Nach Der Welt,Advent,0,0,1
22,"Comfort, Comfort Ye My People",LSB,347,Freu Dich Sehr,Advent,0,0,1
23,The King Shall Come When Morning Dawns,LSB,348,Consolation,Advent,0,0,1
24,Hark the Glad Sound,LSB,349,Chesterfield,Advent,0,0,1
25,"Come, Thou Precious Ransom, Come",LSB,350,Meinen Jesum Lass’ Ich Nicht (Darmstadt),Advent,0,0,1
26,Creator of the Stars of Night,LSB,351,Conditor Alme Siderum,Advent,0,0,1
27,Let the Earth Now Praise the Lord,LSB,352,"Nun Komm, Der Heiden Heiland",Advent,0,0,1
28,"Jesus Came, the Heavens Adoring",LSB,353,"Sieh, Hier Bin Ich",Advent,0,0,1
